( 1700, 852 )
( 1705, 856 )
( 1710, 860 )
( 1715, 864 )
( 1720, 868 )
( 1725, 872 )
( 1730, 875 )
( 1735, 880 )
( 1740, 883 )
( 1745, 887 )
( 1750, 891 )
( 1755, 894 )
( 1760, 898 )
( 1765, 902 )
( 1770, 906 )
( 1775, 910 )
( 1780, 914 )
( 1785, 918 )
( 1790, 922 )
( 1795, 926 )
( 1800, 930 )
( 1805, 934 )
( 1810, 938 )
( 1815, 941 )
( 1820, 945 )
( 1825, 949 )
( 1830, 953 )
( 1835, 956 )
( 1840, 959 )
( 1845, 963 )
( 1850, 966 )
( 1855, 970 )
( 1860, 973 )
( 1865, 977 )
( 1870, 980 )
( 1875, 984 )
( 1880, 987 )
( 1885, 991 )
( 1890, 995 )
( 1895, 998 )
( 1900, 1002 )
( 1905, 1005 )
( 1910, 1009 )
( 1915, 1012 )
( 1920, 1016 )
( 1925, 1019 )
( 1930, 1022 )
( 1935, 1026 )
( 1940, 1029 )
( 1945, 1032 )
( 1950, 1036 )
( 1955, 1039 )
( 1960, 1042 )
( 1965, 1045 )
( 1970, 1048 )
( 1975, 1051 )
( 1980, 1054 )
( 1985, 1057 )
( 1990, 1060 )
( 1995, 1063 )
( 2000, 1066 )
( 2005, 1069 )
( 2010, 1072 )
( 2015, 1075 )
( 2020, 1078 )
( 2025, 1081 )
( 2030, 1084 )
( 2035, 1087 )
( 2040, 1090 )
( 2045, 1093 )
( 2050, 1096 )
( 2055, 1099 )
( 2060, 1102 )
( 2065, 1105 )
( 2070, 1108 )
( 2075, 1111 )
( 2080, 1114 )
( 2085, 1117 )
( 2090, 1120 )
( 2095, 1123 )
( 2100, 1125 )
( 2105, 1128 )
( 2110, 1131 )
( 2115, 1134 )
( 2120, 1137 )
( 2125, 1140 )
( 2130, 1143 )
( 2135, 1146 )
( 2140, 1148 )
( 2145, 1151 )
( 2150, 1154 )
( 2155, 1157 )
( 2160, 1159 )
( 2165, 1162 )
( 2170, 1165 )
( 2175, 1167 )
( 2180, 1170 )
( 2185, 1172 )
( 2190, 1175 )
( 2195, 1178 )
( 2200, 1180 )
( 2205, 1183 )
( 2210, 1185 )
( 2215, 1187 )
( 2220, 1190 )
( 2225, 1192 )
( 2230, 1195 )
( 2235, 1197 )
( 2240, 1199 )
( 2245, 1201 )
( 2250, 1204 )
( 2255, 1206 )
( 2260, 1208 )
( 2265, 1210 )
( 2270, 1212 )
( 2275, 1214 )
( 2280, 1217 )
( 2285, 1219 )
( 2290, 1221 )
( 2295, 1223 )
( 2300, 1225 )
( 2305, 1227 )
( 2310, 1229 )
( 2315, 1231 )
( 2320, 1233 )
( 2325, 1236 )
