( 1560, 5273 )
( 1565, 5278 )
( 1570, 5283 )
( 1575, 5287 )
( 1580, 5292 )
( 1585, 5296 )
( 1590, 5301 )
( 1595, 5305 )
( 1600, 5310 )
( 1605, 5314 )
( 1610, 5318 )
( 1615, 5322 )
( 1620, 5326 )
( 1625, 5330 )
( 1630, 5335 )
( 1635, 5339 )
( 1640, 5343 )
( 1645, 5347 )
( 1650, 5350 )
( 1655, 5354 )
( 1660, 5359 )
( 1665, 5363 )
( 1670, 5367 )
( 1675, 5371 )
( 1680, 5375 )
( 1685, 5378 )
( 1690, 5382 )
( 1695, 5385 )
( 1700, 5388 )
( 1705, 5391 )
( 1710, 5395 )
( 1715, 5398 )
( 1720, 5401 )
( 1725, 5404 )
( 1730, 5408 )
( 1735, 5411 )
( 1740, 5415 )
( 1745, 5418 )
( 1750, 5422 )
( 1755, 5425 )
( 1760, 5429 )
( 1765, 5432 )
( 1770, 5435 )
( 1775, 5439 )
( 1780, 5443 )
( 1785, 5447 )
( 1790, 5451 )
( 1795, 5455 )
( 1800, 5459 )
( 1805, 5462 )
( 1810, 5466 )
( 1815, 5469 )
( 1820, 5472 )
( 1825, 5476 )
( 1830, 5479 )
( 1835, 5482 )
( 1840, 5486 )
( 1845, 5490 )
( 1850, 5494 )
