( 5, 0 )
( 6370, 8573 )
( 6375, 8579 )
( 6380, 8584 )
( 6385, 8589 )
( 6390, 8595 )
( 6395, 8600 )
( 6400, 8606 )
( 6405, 8611 )
( 6410, 8615 )
( 6415, 8621 )
( 6420, 8626 )
( 6425, 8631 )
( 6430, 8636 )
( 6435, 8641 )
( 6440, 8646 )
( 6445, 8652 )
( 6450, 8657 )
( 6455, 8662 )
( 6460, 8667 )
( 6465, 8672 )
( 6470, 8677 )
( 6475, 8682 )
( 6480, 8687 )
( 6485, 8692 )
( 6490, 8698 )
( 6495, 8703 )
( 6500, 8709 )
( 6505, 8715 )
( 6510, 8721 )
( 6515, 8727 )
( 6520, 8733 )
( 6525, 8738 )
( 6530, 8743 )
( 6535, 8748 )
( 6540, 8753 )
( 6545, 8759 )
( 6550, 8764 )
( 6555, 8769 )
( 6560, 8774 )
( 6565, 8780 )
( 6570, 8785 )
( 6575, 8790 )
( 6580, 8795 )
( 6585, 8800 )
( 6590, 8805 )
( 6595, 8811 )
( 6600, 8815 )
( 6605, 8820 )
( 6610, 8826 )
( 6615, 8831 )
( 6620, 8836 )
( 6625, 8841 )
( 6630, 8846 )
( 6635, 8851 )
( 6640, 8856 )
( 6645, 8861 )
( 6650, 8866 )
( 6655, 8871 )
( 6660, 8876 )
( 6665, 8881 )
( 6670, 8886 )
( 6675, 8891 )
( 6680, 8896 )
( 6685, 8901 )
( 6690, 8906 )
( 6695, 8910 )
( 6700, 8916 )
( 6705, 8921 )
( 6710, 8926 )
( 6715, 8931 )
( 6720, 8935 )
( 6725, 8940 )
( 6730, 8945 )
( 6735, 8950 )
( 6740, 8955 )
( 6745, 8960 )
( 6750, 8965 )
( 6755, 8970 )
( 6760, 8976 )
( 6765, 8982 )
( 6770, 8987 )
( 6775, 8992 )
( 6780, 8997 )
( 6785, 9002 )
( 6790, 9007 )
( 6795, 9012 )
( 6800, 9017 )
( 6805, 9022 )
( 6810, 9027 )
( 6815, 9032 )
( 6820, 9037 )
( 6825, 9042 )
( 6830, 9048 )
( 6835, 9053 )
( 6840, 9059 )
( 6845, 9064 )
( 6850, 9070 )
( 6855, 9075 )
( 6860, 9080 )
( 6865, 9085 )
( 6870, 9090 )
( 6875, 9095 )
( 6880, 9100 )
( 6885, 9105 )
( 6890, 9110 )
( 6895, 9114 )
( 6900, 9119 )
( 6905, 9125 )
( 6910, 9129 )
( 6915, 9134 )
( 6920, 9139 )
( 6925, 9144 )
( 6930, 9149 )
( 6935, 9154 )
( 6940, 9160 )
( 6945, 9165 )
( 6950, 9170 )
( 6955, 9175 )
( 6960, 9180 )
( 6965, 9184 )
( 6970, 9190 )
( 6975, 9195 )
( 6980, 9200 )
( 6985, 9205 )
( 6990, 9209 )
( 6995, 9214 )
( 7000, 9219 )
( 7005, 9224 )
( 7010, 9229 )
( 7015, 9233 )
( 7020, 9238 )
( 7025, 9243 )
( 7030, 9248 )
( 7035, 9253 )
( 7040, 9257 )
( 7045, 9262 )
( 7050, 9266 )
( 7055, 9271 )
( 7060, 9275 )
( 7065, 9280 )
( 7070, 9285 )
( 7075, 9290 )
( 7080, 9295 )
( 7085, 9299 )
( 7090, 9303 )
( 7095, 9308 )
( 7100, 9312 )
( 7105, 9317 )
( 7110, 9322 )
( 7115, 9326 )
( 7120, 9331 )
( 7125, 9335 )
( 7130, 9340 )
( 7135, 9345 )
( 7140, 9349 )
( 7145, 9354 )
( 7150, 9359 )
( 7155, 9364 )
( 7160, 9368 )
( 7165, 9372 )
( 7170, 9377 )
( 7175, 9381 )
( 7180, 9386 )
( 7185, 9390 )
( 7190, 9395 )
( 7195, 9400 )
( 7200, 9405 )
( 7205, 9409 )
( 7210, 9414 )
( 7215, 9419 )
( 7220, 9423 )
( 7225, 9428 )
( 7230, 9432 )
( 7235, 9437 )
( 7240, 9442 )
( 7245, 9446 )
( 7250, 9451 )
( 7255, 9455 )
( 7260, 9460 )
( 7265, 9465 )
( 7270, 9470 )
( 7275, 9475 )
( 7280, 9479 )
( 7285, 9484 )
( 7290, 9488 )
( 7295, 9493 )
( 7300, 9498 )
( 7305, 9503 )
( 7310, 9508 )
( 7315, 9513 )
( 7320, 9518 )
( 7325, 9522 )
( 7330, 9527 )
( 7335, 9532 )
( 7340, 9537 )
( 7345, 9542 )
( 7350, 9547 )
( 7355, 9552 )
( 7360, 9556 )
( 7365, 9561 )
( 7370, 9566 )
( 7375, 9571 )
( 7380, 9576 )
( 7385, 9580 )
( 7390, 9585 )
( 7395, 9590 )
( 7400, 9595 )
( 7405, 9599 )
( 7410, 9604 )
( 7415, 9609 )
( 7420, 9614 )
( 7425, 9619 )
( 7430, 9623 )
( 7435, 9628 )
( 7440, 9632 )
( 7445, 9636 )
( 7450, 9640 )
( 7455, 9645 )
( 7460, 9649 )
( 7465, 9654 )
( 7470, 9658 )
( 7475, 9662 )
( 7480, 9667 )
( 7485, 9672 )
( 7490, 9676 )
( 7495, 9681 )
( 7500, 9685 )
( 7505, 9690 )
( 7510, 9695 )
( 7515, 9699 )
( 7520, 9704 )
( 7525, 9709 )
( 7530, 9714 )
( 7535, 9719 )
( 7540, 9723 )
( 7545, 9727 )
( 7550, 9732 )
( 7555, 9736 )
( 7560, 9741 )
( 7565, 9744 )
( 7570, 9748 )
( 7575, 9753 )
( 7580, 9756 )
( 7585, 9760 )
( 7590, 9765 )
( 7595, 9769 )
( 7600, 9773 )
( 7605, 9777 )
( 7610, 9782 )
( 7615, 9785 )
( 7620, 9789 )
( 7625, 9794 )
( 7630, 9797 )
( 7635, 9801 )
( 7640, 9806 )
( 7645, 9809 )
( 7650, 9813 )
( 7655, 9817 )
( 7660, 9820 )
( 7665, 9823 )
( 7670, 9827 )
( 7675, 9831 )
( 7680, 9834 )
( 7685, 9839 )
( 7690, 9842 )
( 7695, 9846 )
( 7700, 9850 )
( 7705, 9854 )
( 7710, 9857 )
( 7715, 9861 )
( 7720, 9865 )
( 7725, 9869 )
( 7730, 9873 )
( 7735, 9876 )
( 7740, 9880 )
( 7745, 9884 )
( 7750, 9888 )
( 7755, 9892 )
( 7760, 9897 )
( 7765, 9902 )
( 7770, 9907 )
( 7775, 9911 )
( 7780, 9916 )
( 7785, 9920 )
( 7790, 9924 )
( 7795, 9928 )
( 7800, 9934 )
( 7805, 9939 )
( 7810, 9944 )
( 7815, 9948 )
( 7820, 9953 )
( 7825, 9957 )
( 7830, 9962 )
( 7835, 9968 )
( 7840, 9972 )
( 7845, 9977 )
( 7850, 9982 )
( 7855, 9987 )
( 7860, 9991 )
( 7865, 9996 )
( 7870, 10001 )
( 7875, 10006 )
( 7880, 10011 )
( 7885, 10016 )
( 7890, 10020 )
( 7895, 10025 )
( 7900, 10030 )
( 7905, 10035 )
( 7910, 10040 )
( 7915, 10045 )
( 7920, 10049 )
( 7925, 10054 )
( 7930, 10059 )
( 7935, 10064 )
( 7940, 10069 )
( 7945, 10075 )
( 7950, 10080 )
( 7955, 10086 )
( 7960, 10091 )
( 7965, 10095 )
( 7970, 10101 )
( 7975, 10106 )
( 7980, 10111 )
( 7985, 10116 )
( 7990, 10120 )
( 7995, 10125 )
( 8000, 10130 )
( 8005, 10134 )
( 8010, 10138 )
( 8015, 10143 )
( 8020, 10149 )
( 8025, 10154 )
( 8030, 10159 )
( 8035, 10163 )
( 8040, 10169 )
( 8045, 10175 )
( 8050, 10180 )
( 8055, 10187 )
( 8060, 10191 )
( 8065, 10196 )
( 8070, 10201 )
( 8075, 10206 )
( 8080, 10211 )
( 8085, 10216 )
( 8090, 10222 )
( 8095, 10227 )
( 8100, 10233 )
( 8105, 10239 )
( 8110, 10245 )
( 8115, 10251 )
( 8120, 10256 )
( 8125, 10263 )
( 8130, 10269 )
( 8135, 10276 )
( 8140, 10282 )
( 8145, 10287 )
( 8150, 10294 )
( 8155, 10301 )
( 8160, 10307 )
( 8165, 10314 )
( 8170, 10320 )
( 8175, 10326 )
( 8180, 10331 )
( 8185, 10337 )
( 8190, 10342 )
( 8195, 10348 )
( 8200, 10354 )
( 8205, 10359 )
( 8210, 10365 )
( 8215, 10372 )
( 8220, 10378 )
( 8225, 10385 )
( 8230, 10391 )
( 8235, 10397 )
( 8240, 10403 )
( 8245, 10410 )
( 8250, 10416 )
( 8255, 10423 )
( 8260, 10429 )
( 8265, 10436 )
( 8270, 10443 )
( 8275, 10450 )
( 8280, 10456 )
( 8285, 10462 )
( 8290, 10470 )
( 8295, 10477 )
( 8300, 10484 )
( 8305, 10491 )
( 8310, 10497 )
( 8315, 10504 )
( 8320, 10511 )
( 8325, 10518 )
( 8330, 10525 )
( 8335, 10531 )
( 8340, 10538 )
( 8345, 10545 )
( 8350, 10552 )
( 8355, 10560 )
( 8360, 10566 )
( 8365, 10573 )
( 8370, 10581 )
( 8375, 10588 )
( 8380, 10595 )
( 8385, 10603 )
( 8390, 10610 )
( 8395, 10618 )
( 8400, 10625 )
( 8405, 10633 )
( 8410, 10642 )
( 8415, 10649 )
( 8420, 10656 )
( 8425, 10663 )
( 8430, 10671 )
( 8435, 10679 )
( 8440, 10687 )
( 8445, 10695 )
( 8450, 10704 )
( 8455, 10712 )
( 8460, 10719 )
( 8465, 10726 )
( 8470, 10733 )
( 8475, 10740 )
( 8480, 10747 )
( 8485, 10754 )
( 8490, 10762 )
( 8495, 10770 )
( 8500, 10777 )
( 8505, 10784 )
( 8510, 10790 )
( 8515, 10798 )
( 8520, 10805 )
( 8525, 10813 )
( 8530, 10821 )
( 8535, 10829 )
( 8540, 10836 )
( 8545, 10843 )
( 8550, 10851 )
( 8555, 10859 )
( 8560, 10868 )
( 8565, 10876 )
( 8570, 10884 )
( 8575, 10891 )
( 8580, 10901 )
( 8585, 10909 )
( 8590, 10918 )
( 8595, 10926 )
( 8600, 10933 )
( 8605, 10940 )
( 8610, 10948 )
( 8615, 10956 )
( 8620, 10964 )
( 8625, 10973 )
( 8630, 10981 )
( 8635, 10989 )
( 8640, 10998 )
( 8645, 11006 )
( 8650, 11014 )
( 8655, 11023 )
( 8660, 11032 )
( 8665, 11040 )
( 8670, 11048 )
( 8675, 11056 )
( 8680, 11065 )
( 8685, 11073 )
( 8690, 11083 )
( 8695, 11092 )
( 8700, 11102 )
( 8705, 11111 )
( 8710, 11120 )
( 8715, 11130 )
( 8720, 11139 )
( 8725, 11148 )
( 8730, 11159 )
( 8735, 11168 )
( 8740, 11178 )
( 8745, 11188 )
( 8750, 11199 )
( 8755, 11209 )
( 8760, 11219 )
( 8765, 11227 )
( 8770, 11236 )
( 8775, 11246 )
( 8780, 11255 )
( 8785, 11263 )
( 8790, 11273 )
( 8795, 11282 )
( 8800, 11293 )
( 8805, 11301 )
( 8810, 11311 )
( 8815, 11319 )
( 8820, 11327 )
( 8825, 11338 )
( 8830, 11345 )
( 8835, 11355 )
( 8840, 11364 )
( 8845, 11373 )
( 8850, 11382 )
( 8855, 11391 )
( 8860, 11400 )
( 8865, 11409 )
( 8870, 11419 )
( 8875, 11428 )
( 8880, 11437 )
( 8885, 11446 )
( 8890, 11456 )
( 8895, 11466 )
( 8900, 11476 )
( 8905, 11486 )
( 8910, 11494 )
( 8915, 11503 )
( 8920, 11513 )
( 8925, 11523 )
( 8930, 11532 )
( 8935, 11540 )
( 8940, 11548 )
( 8945, 11556 )
( 8950, 11565 )
( 8955, 11574 )
( 8960, 11583 )
( 8965, 11593 )
( 8970, 11601 )
( 8975, 11610 )
( 8980, 11617 )
( 8985, 11626 )
( 8990, 11635 )
( 8995, 11643 )
( 9000, 11650 )
( 9005, 11658 )
( 9010, 11665 )
( 9015, 11674 )
( 9020, 11682 )
( 9025, 11690 )
( 9030, 11699 )
( 9035, 11707 )
( 9040, 11716 )
( 9045, 11724 )
( 9050, 11733 )
( 9055, 11741 )
( 9060, 11749 )
( 9065, 11757 )
( 9070, 11766 )
( 9075, 11775 )
( 9080, 11783 )
( 9085, 11791 )
( 9090, 11799 )
( 9095, 11807 )
( 9100, 11815 )
( 9105, 11824 )
( 9110, 11832 )
( 9115, 11839 )
( 9120, 11847 )
( 9125, 11854 )
( 9130, 11862 )
( 9135, 11870 )
( 9140, 11878 )
( 9145, 11885 )
( 9150, 11892 )
( 9155, 11901 )
( 9160, 11909 )
( 9165, 11916 )
( 9170, 11923 )
( 9175, 11931 )
( 9180, 11939 )
( 9185, 11946 )
( 9190, 11954 )
( 9195, 11961 )
( 9200, 11969 )
( 9205, 11978 )
( 9210, 11985 )
( 9215, 11993 )
( 9220, 12001 )
( 9225, 12010 )
( 9230, 12018 )
( 9235, 12026 )
( 9240, 12035 )
( 9245, 12042 )
( 9250, 12050 )
( 9255, 12059 )
( 9260, 12066 )
( 9265, 12074 )
( 9270, 12082 )
( 9275, 12090 )
( 9280, 12097 )
( 9285, 12105 )
( 9290, 12113 )
( 9295, 12120 )
( 9300, 12127 )
( 9305, 12135 )
( 9310, 12143 )
( 9315, 12151 )
( 9320, 12159 )
( 9325, 12166 )
( 9330, 12174 )
( 9335, 12181 )
( 9340, 12190 )
( 9345, 12197 )
( 9350, 12204 )
( 9355, 12212 )
( 9360, 12220 )
( 9365, 12227 )
( 9370, 12235 )
( 9375, 12241 )
( 9380, 12248 )
( 9385, 12255 )
( 9390, 12264 )
( 9395, 12271 )
( 9400, 12278 )
( 9405, 12285 )
( 9410, 12292 )
( 9415, 12299 )
( 9420, 12307 )
( 9425, 12314 )
( 9430, 12321 )
( 9435, 12327 )
( 9440, 12333 )
( 9445, 12340 )
( 9450, 12346 )
( 9455, 12352 )
( 9460, 12358 )
( 9465, 12364 )
( 9470, 12370 )
( 9475, 12376 )
( 9480, 12382 )
( 9485, 12388 )
( 9490, 12393 )
( 9495, 12399 )
( 9500, 12405 )
( 9505, 12411 )
( 9510, 12417 )
( 9515, 12423 )
( 9520, 12429 )
( 9525, 12435 )
( 9530, 12441 )
( 9535, 12447 )
( 9540, 12453 )
( 9545, 12459 )
( 9550, 12465 )
( 9555, 12471 )
( 9560, 12477 )
( 9565, 12482 )
( 9570, 12488 )
( 9575, 12494 )
( 9580, 12499 )
( 9585, 12505 )
( 9590, 12511 )
( 9595, 12516 )
( 9600, 12521 )
( 9605, 12527 )
( 9610, 12533 )
( 9615, 12538 )
( 9620, 12544 )
( 9625, 12549 )
( 9630, 12554 )
( 9635, 12560 )
( 9640, 12567 )
( 9645, 12572 )
( 9650, 12577 )
( 9655, 12583 )
( 9660, 12589 )
( 9665, 12595 )
( 9670, 12601 )
( 9675, 12607 )
( 9680, 12613 )
( 9685, 12619 )
( 9690, 12625 )
( 9695, 12631 )
( 9700, 12637 )
( 9705, 12643 )
( 9710, 12649 )
( 9715, 12654 )
( 9720, 12660 )
( 9725, 12666 )
( 9730, 12672 )
( 9735, 12678 )
( 9740, 12685 )
( 9745, 12691 )
( 9750, 12697 )
( 9755, 12703 )
( 9760, 12709 )
( 9765, 12714 )
( 9770, 12720 )
( 9775, 12726 )
( 9780, 12732 )
( 9785, 12738 )
( 9790, 12744 )
( 9795, 12750 )
( 9800, 12756 )
( 9805, 12762 )
( 9810, 12767 )
( 9815, 12773 )
( 9820, 12778 )
( 9825, 12784 )
( 9830, 12789 )
( 9835, 12794 )
( 9840, 12800 )
( 9845, 12805 )
( 9850, 12810 )
( 9855, 12816 )
( 9860, 12821 )
( 9865, 12827 )
( 9870, 12832 )
( 9875, 12837 )
( 9880, 12841 )
( 9885, 12846 )
( 9890, 12851 )
( 9895, 12856 )
( 9900, 12860 )
( 9905, 12864 )
( 9910, 12868 )
( 9915, 12873 )
( 9920, 12877 )
( 9925, 12880 )
( 9930, 12884 )
( 9935, 12888 )
( 9940, 12892 )
( 9945, 12895 )
( 9950, 12899 )
( 9955, 12903 )
( 9960, 12906 )
( 9965, 12910 )
( 9970, 12914 )
( 9975, 12918 )
( 9980, 12922 )
( 9985, 12926 )
( 9990, 12930 )
( 9995, 12934 )
( 10000, 12938 )
( 10005, 12942 )
( 10010, 12946 )
( 10015, 12950 )
( 10020, 12955 )
( 10025, 12959 )
( 10030, 12963 )
( 10035, 12967 )
( 10040, 12972 )
( 10045, 12976 )
( 10050, 12982 )
( 10055, 12987 )
( 10060, 12992 )
( 10065, 12997 )
( 10070, 13001 )
( 10075, 13006 )
( 10080, 13011 )
( 10085, 13015 )
( 10090, 13019 )
( 10095, 13024 )
( 10100, 13028 )
( 10105, 13033 )
( 10110, 13037 )
( 10115, 13040 )
( 10120, 13044 )
( 10125, 13048 )
( 10130, 13052 )
( 10135, 13055 )
( 10140, 13059 )
( 10145, 13062 )
( 10150, 13066 )
( 10155, 13069 )
( 10160, 13072 )
( 10165, 13075 )
( 10170, 13077 )
( 10175, 13080 )
( 10180, 13082 )
( 10185, 13084 )
( 10190, 13087 )
( 10195, 13089 )
( 10200, 13092 )
( 10205, 13093 )
( 10210, 13096 )
( 10215, 13097 )
( 10220, 13099 )
( 10225, 13102 )
( 10230, 13104 )
( 10235, 13107 )
( 10240, 13109 )
( 10245, 13111 )
( 10250, 13114 )
( 10255, 13117 )
( 10260, 13120 )
( 10265, 13123 )
( 10270, 13126 )
( 10275, 13129 )
( 10280, 13132 )
( 10285, 13135 )
( 10290, 13137 )
( 10295, 13140 )
( 10300, 13143 )
( 10305, 13146 )
( 10310, 13149 )
( 10315, 13152 )
( 10320, 13155 )
( 10325, 13159 )
( 10330, 13162 )
( 10335, 13165 )
( 10340, 13168 )
( 10345, 13171 )
( 10350, 13175 )
( 10355, 13178 )
( 10360, 13181 )
( 10365, 13184 )
( 10370, 13187 )
( 10375, 13191 )
( 10380, 13195 )
( 10385, 13198 )
( 10390, 13201 )
( 10395, 13205 )
( 10400, 13208 )
( 10405, 13211 )
( 10410, 13214 )
( 10415, 13217 )
( 10420, 13220 )
( 10425, 13223 )
( 10430, 13226 )
( 10435, 13228 )
( 10440, 13231 )
( 10445, 13234 )
( 10450, 13236 )
( 10455, 13238 )
( 10460, 13241 )
( 10465, 13243 )
( 10470, 13245 )
( 10475, 13247 )
( 10480, 13249 )
( 10485, 13251 )
( 10490, 13254 )
( 10495, 13255 )
( 10500, 13257 )
( 10505, 13260 )
( 10510, 13262 )
( 10515, 13264 )
( 10520, 13266 )
( 10525, 13268 )
( 10530, 13270 )
( 10535, 13272 )
( 10540, 13274 )
( 10545, 13276 )
( 10550, 13278 )
( 10555, 13280 )
( 10560, 13282 )
( 10565, 13284 )
( 10570, 13285 )
( 10575, 13288 )
( 10580, 13290 )
( 10585, 13292 )
( 10590, 13294 )
( 10595, 13297 )
( 10600, 13299 )
( 10605, 13302 )
( 10610, 13304 )
( 10615, 13307 )
( 10620, 13310 )
( 10625, 13313 )
( 10630, 13316 )
( 10635, 13318 )
( 10640, 13322 )
( 10645, 13325 )
( 10650, 13327 )
( 10655, 13330 )
( 10660, 13333 )
( 10665, 13337 )
( 10670, 13341 )
( 10675, 13344 )
( 10680, 13348 )
( 10685, 13352 )
( 10690, 13356 )
( 10695, 13360 )
( 10700, 13364 )
( 10705, 13368 )
( 10710, 13372 )
( 10715, 13376 )
( 10720, 13380 )
( 10725, 13383 )
( 10730, 13387 )
( 10735, 13391 )
( 10740, 13394 )
( 10745, 13397 )
( 10750, 13401 )
( 10755, 13404 )
( 10760, 13408 )
( 10765, 13411 )
( 10770, 13414 )
( 10775, 13418 )
( 10780, 13421 )
( 10785, 13425 )
( 10790, 13427 )
( 10795, 13430 )
( 10800, 13433 )
( 10805, 13436 )
( 10810, 13439 )
( 10815, 13441 )
( 10820, 13444 )
( 10825, 13446 )
( 10830, 13449 )
( 10835, 13451 )
( 10840, 13454 )
( 10845, 13457 )
( 10850, 13460 )
( 10855, 13462 )
( 10860, 13465 )
( 10865, 13468 )
( 10870, 13471 )
( 10875, 13474 )
( 10880, 13476 )
( 10885, 13479 )
( 10890, 13482 )
( 10895, 13485 )
( 10900, 13489 )
( 10905, 13492 )
( 10910, 13495 )
( 10915, 13499 )
( 10920, 13502 )
( 10925, 13505 )
( 10930, 13509 )
( 10935, 13513 )
( 10940, 13517 )
( 10945, 13521 )
( 10950, 13525 )
( 10955, 13529 )
( 10960, 13532 )
( 10965, 13536 )
( 10970, 13540 )
( 10975, 13545 )
( 10980, 13549 )
( 10985, 13554 )
( 10990, 13558 )
( 10995, 13562 )
( 11000, 13567 )
( 11005, 13571 )
( 11010, 13576 )
( 11015, 13580 )
( 11020, 13585 )
( 11025, 13590 )
( 11030, 13594 )
( 11035, 13599 )
( 11040, 13604 )
( 11045, 13610 )
( 11050, 13615 )
( 11055, 13621 )
( 11060, 13626 )
( 11065, 13631 )
( 11070, 13636 )
( 11075, 13642 )
( 11080, 13647 )
( 11085, 13653 )
( 11090, 13658 )
( 11095, 13663 )
( 11100, 13668 )
( 11105, 13674 )
( 11110, 13678 )
( 11115, 13682 )
( 11120, 13686 )
( 11125, 13691 )
( 11130, 13695 )
( 11135, 13699 )
( 11140, 13703 )
( 11145, 13707 )
( 11150, 13711 )
( 11155, 13715 )
( 11160, 13718 )
( 11165, 13721 )
( 11170, 13725 )
( 11175, 13729 )
( 11180, 13733 )
( 11185, 13736 )
( 11190, 13740 )
( 11195, 13744 )
( 11200, 13748 )
( 11205, 13752 )
( 11210, 13756 )
( 11215, 13760 )
( 11220, 13763 )
( 11225, 13766 )
( 11230, 13770 )
( 11235, 13774 )
( 11240, 13778 )
( 11245, 13782 )
( 11250, 13787 )
( 11255, 13790 )
( 11260, 13794 )
( 11265, 13798 )
( 11270, 13802 )
( 11275, 13805 )
( 11280, 13809 )
( 11285, 13813 )
( 11290, 13817 )
( 11295, 13822 )
( 11300, 13826 )
( 11305, 13831 )
( 11310, 13836 )
( 11315, 13841 )
( 11320, 13846 )
( 11325, 13850 )
( 11330, 13855 )
( 11335, 13860 )
( 11340, 13865 )
( 11345, 13870 )
( 11350, 13875 )
( 11355, 13880 )
( 11360, 13885 )
( 11365, 13891 )
( 11370, 13895 )
( 11375, 13900 )
( 11380, 13905 )
( 11385, 13911 )
( 11390, 13917 )
( 11395, 13922 )
( 11400, 13928 )
( 11405, 13933 )
( 11410, 13939 )
( 11415, 13943 )
( 11420, 13948 )
( 11425, 13953 )
( 11430, 13958 )
( 11435, 13962 )
( 11440, 13966 )
( 11445, 13971 )
( 11450, 13976 )
( 11455, 13981 )
( 11460, 13986 )
( 11465, 13991 )
( 11470, 13996 )
( 11475, 14000 )
( 11480, 14005 )
( 11485, 14009 )
( 11490, 14014 )
( 11495, 14019 )
( 11500, 14024 )
( 11505, 14029 )
( 11510, 14035 )
( 11515, 14039 )
( 11520, 14045 )
( 11525, 14050 )
( 11530, 14054 )
( 11535, 14060 )
( 11540, 14065 )
( 11545, 14069 )
( 11550, 14074 )
( 11555, 14079 )
( 11560, 14083 )
( 11565, 14087 )
( 11570, 14092 )
( 11575, 14098 )
( 11580, 14105 )
( 11585, 14110 )
( 11590, 14115 )
( 11595, 14122 )
( 11600, 14127 )
( 11605, 14132 )
( 11610, 14138 )
( 11615, 14144 )
( 11620, 14149 )
( 11625, 14153 )
( 11630, 14158 )
( 11635, 14164 )
( 11640, 14169 )
( 11645, 14175 )
( 11650, 14180 )
( 11655, 14186 )
( 11660, 14192 )
( 11665, 14199 )
( 11670, 14204 )
( 11675, 14210 )
( 11680, 14217 )
( 11685, 14223 )
( 11690, 14229 )
( 11695, 14235 )
( 11700, 14241 )
( 11705, 14246 )
( 11710, 14251 )
( 11715, 14256 )
( 11720, 14262 )
( 11725, 14268 )
( 11730, 14273 )
( 11735, 14279 )
( 11740, 14284 )
( 11745, 14290 )
( 11750, 14294 )
( 11755, 14300 )
( 11760, 14305 )
( 11765, 14311 )
( 11770, 14316 )
( 11775, 14322 )
( 11780, 14327 )
( 11785, 14332 )
( 11790, 14338 )
( 11795, 14344 )
( 11800, 14349 )
( 11805, 14355 )
( 11810, 14360 )
( 11815, 14366 )
( 11820, 14373 )
( 11825, 14378 )
( 11830, 14384 )
( 11835, 14390 )
( 11840, 14396 )
( 11845, 14402 )
( 11850, 14408 )
( 11855, 14415 )
( 11860, 14420 )
( 11865, 14426 )
( 11870, 14433 )
( 11875, 14440 )
( 11880, 14445 )
( 11885, 14450 )
( 11890, 14456 )
( 11895, 14462 )
( 11900, 14467 )
( 11905, 14473 )
( 11910, 14478 )
( 11915, 14483 )
( 11920, 14488 )
( 11925, 14494 )
( 11930, 14500 )
( 11935, 14506 )
( 11940, 14511 )
( 11945, 14516 )
( 11950, 14522 )
( 11955, 14528 )
( 11960, 14533 )
( 11965, 14539 )
( 11970, 14544 )
( 11975, 14550 )
( 11980, 14557 )
( 11985, 14562 )
( 11990, 14569 )
( 11995, 14575 )
( 12000, 14582 )
( 12005, 14588 )
( 12010, 14594 )
( 12015, 14602 )
( 12020, 14608 )
( 12025, 14614 )
( 12030, 14619 )
( 12035, 14626 )
( 12040, 14632 )
( 12045, 14639 )
( 12050, 14645 )
( 12055, 14651 )
( 12060, 14658 )
( 12065, 14665 )
( 12070, 14672 )
( 12075, 14679 )
( 12080, 14685 )
( 12085, 14691 )
( 12090, 14697 )
( 12095, 14704 )
( 12100, 14711 )
( 12105, 14718 )
( 12110, 14725 )
( 12115, 14731 )
( 12120, 14737 )
( 12125, 14743 )
( 12130, 14749 )
( 12135, 14756 )
( 12140, 14762 )
( 12145, 14769 )
( 12150, 14774 )
( 12155, 14781 )
( 12160, 14788 )
( 12165, 14794 )
( 12170, 14800 )
( 12175, 14806 )
( 12180, 14813 )
( 12185, 14820 )
( 12190, 14826 )
( 12195, 14833 )
( 12200, 14838 )
( 12205, 14844 )
( 12210, 14850 )
( 12215, 14856 )
( 12220, 14862 )
( 12225, 14869 )
( 12230, 14875 )
( 12235, 14881 )
( 12240, 14887 )
( 12245, 14893 )
( 12250, 14899 )
( 12255, 14905 )
( 12260, 14911 )
( 12265, 14917 )
( 12270, 14923 )
( 12275, 14929 )
( 12280, 14935 )
( 12285, 14941 )
( 12290, 14948 )
( 12295, 14954 )
( 12300, 14960 )
( 12305, 14966 )
( 12310, 14973 )
( 12315, 14979 )
( 12320, 14986 )
( 12325, 14992 )
( 12330, 14998 )
( 12335, 15004 )
( 12340, 15011 )
( 12345, 15018 )
( 12350, 15024 )
( 12355, 15030 )
( 12360, 15037 )
( 12365, 15044 )
( 12370, 15051 )
( 12375, 15057 )
( 12380, 15064 )
( 12385, 15070 )
( 12390, 15076 )
( 12395, 15083 )
( 12400, 15090 )
( 12405, 15097 )
( 12410, 15103 )
( 12415, 15110 )
( 12420, 15118 )
( 12425, 15124 )
( 12430, 15131 )
( 12435, 15138 )
( 12440, 15145 )
( 12445, 15152 )
( 12450, 15159 )
( 12455, 15166 )
( 12460, 15173 )
( 12465, 15180 )
( 12470, 15187 )
( 12475, 15193 )
( 12480, 15199 )
( 12485, 15205 )
( 12490, 15212 )
( 12495, 15219 )
( 12500, 15226 )
( 12505, 15232 )
( 12510, 15239 )
( 12515, 15246 )
( 12520, 15253 )
( 12525, 15258 )
( 12530, 15265 )
( 12535, 15271 )
( 12540, 15277 )
( 12545, 15283 )
( 12550, 15289 )
( 12555, 15295 )
( 12560, 15301 )
( 12565, 15308 )
( 12570, 15314 )
( 12575, 15321 )
( 12580, 15328 )
( 12585, 15335 )
( 12590, 15342 )
( 12595, 15349 )
( 12600, 15355 )
( 12605, 15362 )
( 12610, 15369 )
( 12615, 15375 )
( 12620, 15382 )
( 12625, 15389 )
( 12630, 15395 )
( 12635, 15401 )
( 12640, 15408 )
( 12645, 15414 )
( 12650, 15421 )
( 12655, 15428 )
( 12660, 15434 )
( 12665, 15441 )
( 12670, 15447 )
( 12675, 15453 )
( 12680, 15460 )
( 12685, 15467 )
( 12690, 15473 )
( 12695, 15479 )
( 12700, 15485 )
( 12705, 15492 )
( 12710, 15499 )
( 12715, 15506 )
( 12720, 15513 )
