( 5, 0 )
( 1555, 3697 )
( 1560, 3700 )
( 1565, 3702 )
( 1570, 3705 )
( 1575, 3707 )
( 1580, 3710 )
( 1585, 3712 )
( 1590, 3715 )
( 1595, 3717 )
( 1600, 3720 )
( 1605, 3722 )
( 1610, 3724 )
( 1615, 3726 )
( 1620, 3728 )
( 1625, 3730 )
( 1630, 3732 )
( 1635, 3734 )
( 1640, 3736 )
( 1645, 3737 )
( 1650, 3740 )
( 1655, 3742 )
( 1660, 3744 )
( 1665, 3746 )
( 1670, 3748 )
( 1675, 3750 )
( 1680, 3752 )
( 1685, 3755 )
( 1690, 3756 )
( 1695, 3758 )
( 1700, 3760 )
( 1705, 3762 )
( 1710, 3764 )
( 1715, 3766 )
( 1720, 3768 )
( 1725, 3771 )
( 1730, 3773 )
( 1735, 3775 )
( 1740, 3777 )
( 1745, 3779 )
( 1750, 3781 )
( 1755, 3784 )
( 1760, 3786 )
( 1765, 3788 )
( 1770, 3790 )
( 1775, 3792 )
( 1780, 3793 )
( 1785, 3795 )
( 1790, 3797 )
( 1795, 3799 )
( 1800, 3802 )
( 1805, 3804 )
( 1810, 3807 )
( 1815, 3809 )
( 1820, 3811 )
( 1825, 3814 )
( 1830, 3817 )
( 1835, 3820 )
( 1840, 3822 )
( 1845, 3826 )
( 1850, 3828 )
( 1855, 3831 )
( 1860, 3834 )
( 1865, 3837 )
( 1870, 3840 )
( 1875, 3843 )
( 1880, 3846 )
( 1885, 3849 )
( 1890, 3852 )
( 1895, 3855 )
( 1900, 3858 )
( 1905, 3861 )
( 1910, 3865 )
( 1915, 3868 )
( 1920, 3871 )
( 1925, 3875 )
( 1930, 3878 )
( 1935, 3881 )
( 1940, 3884 )
( 1945, 3887 )
( 1950, 3890 )
( 1955, 3893 )
( 1960, 3896 )
( 1965, 3899 )
( 1970, 3903 )
( 1975, 3906 )
( 1980, 3910 )
( 1985, 3913 )
( 1990, 3917 )
( 1995, 3920 )
( 2000, 3924 )
( 2005, 3927 )
( 2010, 3931 )
( 2015, 3935 )
( 2020, 3938 )
( 2025, 3942 )
( 2030, 3946 )
( 2035, 3950 )
( 2040, 3955 )
( 2045, 3959 )
( 2050, 3964 )
( 2055, 3968 )
( 2060, 3972 )
( 2065, 3975 )
( 2070, 3979 )
( 2075, 3981 )
( 2080, 3985 )
( 2085, 3989 )
( 2090, 3993 )
( 2095, 3996 )
( 2100, 4000 )
( 2105, 4003 )
( 2110, 4008 )
( 2115, 4011 )
( 2120, 4015 )
( 2125, 4019 )
( 2130, 4022 )
( 2135, 4025 )
( 2140, 4030 )
( 2145, 4034 )
( 2150, 4038 )
( 2155, 4043 )
( 2160, 4047 )
( 2165, 4051 )
( 2170, 4055 )
( 2175, 4060 )
( 2180, 4064 )
( 2185, 4068 )
( 2190, 4073 )
( 2195, 4077 )
( 2200, 4081 )
( 2205, 4086 )
( 2210, 4090 )
( 2215, 4094 )
( 2220, 4098 )
( 2225, 4103 )
( 2230, 4107 )
( 2235, 4111 )
( 2240, 4116 )
( 2245, 4120 )
( 2250, 4125 )
( 2255, 4130 )
( 2260, 4136 )
( 2265, 4141 )
( 2270, 4145 )
( 2275, 4149 )
( 2280, 4154 )
( 2285, 4159 )
( 2290, 4164 )
( 2295, 4169 )
( 2300, 4173 )
( 2305, 4178 )
( 2310, 4183 )
( 2315, 4188 )
( 2320, 4194 )
( 2325, 4200 )
( 2330, 4204 )
( 2335, 4209 )
( 2340, 4214 )
( 2345, 4219 )
( 2350, 4224 )
( 2355, 4230 )
( 2360, 4235 )
( 2365, 4239 )
( 2370, 4245 )
( 2375, 4251 )
( 2380, 4258 )
( 2385, 4264 )
( 2390, 4269 )
( 2395, 4274 )
( 2400, 4279 )
( 2405, 4284 )
